Country_Name,Country_Code,Country_code,Region,Sub_Region,Population,Agriculture,Industry,Services,Deathrate,Birthrate,Employmentrate,Unemploymentrate,Employmentcount,Unemploymentcount,Population_Rank,Year
Afghanistan,AFG,004,Asia,Southern Asia,28803167,18577754.84,1759873.542,8465539.028,8.095,39.232,47.61399841,52.38600159,13714339.48,15088827.52,3,2010
Angola,AGO,024,Africa,Sub-Saharan Africa,23369131,11038175.61,2044097.828,10286858.01,10.45,45.314,70.11199951,29.88800049,16384565.01,6984565.987,3,2010
Albania,ALB,008,Europe,Southern Europe,2913021,1278845.378,564397.8188,1069748.689,6.776,11.819,46.56399918,53.43600082,1356419.074,1556601.926,4,2010
United Arab Emirates,ARE,784,Asia,Western Asia,8270684,63105.31987,2423723.971,5783854.669,1.474,11.656,79.19999695,20.80000305,6550381.476,1720302.524,4,2010
Argentina,ARG,032,Americas,Latin America and the Caribbean,41223889,524780.1078,9621655.756,31077453.63,7.637,18.154,55.11399841,44.88600159,22720133.53,18503755.47,3,2010
Armenia,ARM,051,Asia,Western Asia,2877311,1110526.973,501054.9248,1265729.157,9.757,15.065,48.2480011,51.7519989,1388245.043,1489065.957,4,2010
Australia,AUS,036,Oceania,Australia and New Zealand,22031750,711625.5292,4621600.039,16698524.12,6.5,13.7,62.11899948,37.88100052,13685902.67,8345847.332,3,2010
Austria,AUT,040,Europe,Western Europe,8363404,435984.2355,2083156.747,5844262.897,9.2,9.4,57.06800079,42.93199921,4772827.461,3590576.539,4,2010
Azerbaijan,AZE,031,Asia,Western Asia,9054332,3461471.082,1241982.721,4350878.283,5.9,18.3,60.40499878,39.59500122,5469269.134,3585062.866,4,2010
Burundi,BDI,108,Africa,Sub-Saharan Africa,8766930,8008327.558,223995.0674,534607.3957,12.319,43.736,78.07499695,21.92500305,6844780.33,1922149.67,4,2010
Belgium,BEL,056,Europe,Western Europe,10895586,147308.3225,2546843.228,8201434.736,9.7,11.9,49.49499893,50.50500107,5392770.174,5502815.826,3,2010
Benin,BEN,204,Africa,Sub-Saharan Africa,9199259,4169931.98,963162.4419,4066164.49,10.093,39.278,70.30599976,29.69400024,6467631.01,2731627.99,4,2010
Burkina Faso,BFA,854,Africa,Sub-Saharan Africa,15605217,9500768.209,1781023.433,4323425.358,10.645,42.314,67.10500336,32.89499664,10471881.39,5133335.608,3,2010
Bangladesh,BGD,050,Asia,Southern Asia,152149102,71975653.82,26819323.44,53352606.99,5.614,21.224,55.06100082,44.93899918,83774818.31,68374283.69,2,2010
Bulgaria,BGR,100,Europe,Eastern Europe,7395599,504010.0761,2438994.601,4452594.429,14.9,10.2,47.91799927,52.08200073,3543823.075,3851775.925,4,2010
Bahrain,BHR,048,Asia,Western Asia,1240862,13500.57929,443223.5197,784137.9335,2.326,16.544,71.40399933,28.59600067,886025.0941,354836.9059,4,2010
"Bahamas, The",BHS,044,Americas,Latin America and the Caribbean,360832,12008.48921,52934.05468,295885.8463,5.895,15.323,64.96299744,35.03700256,234407.2829,126424.7171,5,2010
Bosnia and Herzegovina,BIH,070,Europe,Southern Europe,3722084,731538.3644,1084429.182,1906153.725,9.922,9.19,35.09899902,64.90100098,1306414.227,2415669.773,4,2010
Belarus,BLR,112,Europe,Eastern Europe,9490583,1027260.738,3286683.848,5176638.324,14.4,11.4,62.2820015,37.7179985,5910925.046,3579657.954,4,2010
Belize,BLZ,084,Americas,Latin America and the Caribbean,321608,55300.49462,57908.73815,208398.7795,5.209,23.66,59.50999832,40.49000168,191388.9154,130219.0846,5,2010
Bolivia,BOL,068,Americas,Latin America and the Caribbean,9918242,2980034.944,2045934.985,4892272.07,7.914,25.502,70.14700317,29.85299683,6957349.531,2960892.469,4,2010
Brazil,BRA,076,Americas,Latin America and the Caribbean,196796269,31412620.25,43881632.72,121502019.8,5.873,15.492,61.05899811,38.94100189,120161830.2,76634438.83,2,2010
Barbados,BRB,052,Americas,Latin America and the Caribbean,279569,7942.555514,78128.35035,193498.0848,10.321,12.48,60.73600006,39.26399994,169799.028,109769.972,5,2010
Brunei Darussalam,BRN,096,Asia,South-eastern Asia,388662,2751.726977,74821.31949,311088.9528,3.196,16.553,63.38499832,36.61500168,246353.4022,142308.5978,5,2010
Bhutan,BTN,064,Asia,Southern Asia,727641,433674.0249,48235.32325,245731.6414,6.239,20.58,67.50800323,32.49199677,491215.9098,236425.0902,5,2010
Botswana,BWA,072,Africa,Sub-Saharan Africa,2014866,532448.5012,277003.7806,1205413.737,9.33,25.286,49.50799942,50.49200058,997519.8476,1017346.152,4,2010
Central African Republic,CAF,140,Africa,Sub-Saharan Africa,4448525,3832760.042,314510.7251,301298.5877,16.572,37.981,66.96399689,33.03600311,2978910.143,1469614.857,4,2010
Canada,CAN,124,Americas,Northern America,34005274,786882.0034,6728963.655,26489429.23,7.1,11.1,61.2140007,38.7859993,20815988.67,13189285.33,3,2010
Switzerland,CHE,756,Europe,Western Europe,7824909,271524.3445,1756535.569,5796849.143,8,10.3,63.72600174,36.27399826,4986501.645,2838407.355,4,2010
Chile,CHL,152,Americas,Latin America and the Caribbean,16993354,1802145.114,3901164.402,11289874,5.777,14.466,55.64199829,44.35800171,9455441.742,7537912.258,3,2010
China,CHN,156,Asia,Eastern Asia,1337705000,350933519.7,403371556.7,583413267.8,7.11,11.9,67.99199677,32.00800323,909532340.3,428172659.7,1,2010
Côte d'Ivoire,CIV,384,Africa,Sub-Saharan Africa,20401331,10107431.27,1199598.286,9094301.251,14.225,38.203,58.74200058,41.25799942,11984149.97,8417181.026,3,2010
Cameroon,CMR,120,Africa,Sub-Saharan Africa,19970495,12959253.27,1853461.668,5157779.677,11.66,39.307,72.81500244,27.18499756,14541516.42,5428978.578,3,2010
Congo (Democratic Republic of the),COD,180,Africa,Sub-Saharan Africa,64523263,51353417.78,7574386.05,5595457.323,11.588,44.856,69.72599792,30.27400208,44989489.02,19533773.98,3,2010
Congo,COG,178,Africa,Sub-Saharan Africa,4386693,1716907.771,1022450.429,1647334.884,9.288,38.022,59.37799835,40.62200165,2604730.497,1781962.503,4,2010
Colombia,COL,170,Americas,Latin America and the Caribbean,45918097,8414950.554,8976987.613,28526158.83,5.665,17.079,61.48300171,38.51699829,28231824.36,17686272.64,3,2010
Comoros,COM,174,Africa,Sub-Saharan Africa,689692,385261.9554,101260.5805,203169.4706,8.244,35.209,40.25899887,59.74100113,277663.0945,412028.9055,5,2010
Cabo Verde,CPV,132,Africa,Sub-Saharan Africa,502384,350352.5487,36473.07955,115558.3717,5.733,22.898,52.92399979,47.07600021,265881.7071,236502.2929,5,2010
Costa Rica,CRI,188,Americas,Latin America and the Caribbean,4545280,687019.0616,892011.2,2966249.825,4.587,15.84,55.12799835,44.87200165,2505721.883,2039558.117,4,2010
Cuba,CUB,192,Americas,Latin America and the Caribbean,11333051,2108060.797,1935911.855,7289078.564,7.258,11.042,54.07899857,45.92100143,6128800.488,5204250.512,3,2010
Cyprus,CYP,196,Asia,Western Asia,1112607,42223.4365,227005.2049,843378.3799,6.757,11.515,60.0359993,39.9640007,667964.7307,444642.2693,4,2010
Czechia,CZE,203,Europe,Eastern Europe,10474410,324287.729,3978914.076,6171208.121,10.2,11.2,54.10200119,45.89799881,5666865.423,4807544.577,3,2010
Germany,DEU,276,Europe,Western Europe,81776930,1346866,23150231.13,57279014.48,10.5,8.3,55.29800034,44.70199966,45221007.03,36555922.97,3,2010
Djibouti,DJI,262,Africa,Sub-Saharan Africa,851146,282571.9717,233307.6241,335266.4042,8.896,25.193,55.64899826,44.35100174,473654.2227,377491.7773,5,2010
Denmark,DNK,208,Europe,Northern Europe,5547683,134309.4056,1087789.672,4325583.949,9.8,11.4,59.56499863,40.43500137,3304477.303,2243205.697,4,2010
Dominican Republic,DOM,214,Americas,Latin America and the Caribbean,9897985,1430555.779,1799057.813,6668272.766,6.006,22.205,60.64799881,39.35200119,6002929.825,3895055.175,4,2010
Algeria,DZA,012,Africa,Northern Africa,36117637,5969522.999,14242628.29,15905484.33,4.754,24.762,38.14300156,61.85699844,13776350.84,22341286.16,3,2010
Ecuador,ECU,218,Americas,Latin America and the Caribbean,14934690,4163492.917,2761125.617,8010071.466,5.175,21.898,62.40399933,37.59600067,9319843.847,5614846.153,3,2010
Egypt,EGY,818,Africa,Northern Africa,84107606,24443352.69,20200964.51,39463287.2,6.206,27.093,43.4640007,56.5359993,36556530.46,47551075.54,3,2010
Spain,ESP,724,Europe,Southern Europe,46576897,1955298.115,10700576.75,33921023.91,8.2,10.4,47.50999832,52.49000168,22128682.98,24448214.02,3,2010
Estonia,EST,233,Europe,Northern Europe,1331475,56148.30085,403676.6011,871650.06,11.9,11.9,50.41500092,49.58499908,671263.1334,660211.8666,4,2010
Ethiopia,ETH,231,Africa,Sub-Saharan Africa,87702670,67666117.42,5497203.466,14539347.86,8.388,34.831,79.38600159,20.61399841,69623643,18079027,3,2010
Finland,FIN,246,Europe,Northern Europe,5363352,238079.2022,1249660.975,3875558.27,9.5,11.4,54.81999969,45.18000031,2940189.55,2423162.45,4,2010
Fiji,FJI,242,Oceania,Melanesia,859950,368789.5431,117916.3431,373244.0975,6.632,21.574,51.68600082,48.31399918,444473.7641,415476.2359,5,2010
France,FRA,250,Europe,Western Europe,65027507,1890999.899,14471221.22,48665284.02,8.5,12.9,51.29000092,48.70999908,33352608.94,31674898.06,3,2010
Gabon,GAB,266,Africa,Sub-Saharan Africa,1640210,706832.1264,207273.3391,726104.5814,9.159,31.859,39.18899918,60.81100082,642781.8834,997428.1166,4,2010
United Kingdom,GBR,826,Europe,Northern Europe,62766365,763238.9739,12057418.14,49945705.71,8.9,12.9,57.01699829,42.98300171,35787497.26,26978867.74,3,2010
Georgia,GEO,268,Asia,Western Asia,3926000,1891782.392,406301.7391,1627915.906,12.476,14.231,54.27799988,45.72200012,2130954.275,1795045.725,4,2010
Ghana,GHA,288,Africa,Sub-Saharan Africa,24512104,10294593.71,3736625.24,10480885.29,9.148,33.333,72.09799957,27.90200043,17672736.64,6839367.363,3,2010
Guinea,GIN,324,Africa,Sub-Saharan Africa,10794170,7583335.955,642792.8153,2568148.907,11.147,38.588,61.79499817,38.20500183,6670257.154,4123912.846,3,2010
Gambia,GMB,270,Africa,Sub-Saharan Africa,1692149,555667.9098,248644.3782,887836.712,9.03,42.116,53.68799973,46.31200027,908480.9505,783668.0495,4,2010
Guinea-Bissau,GNB,624,Africa,Sub-Saharan Africa,1555880,1314298.506,102267.9917,139313.5026,11.993,39.254,66.65799713,33.34200287,1037118.446,518761.5542,4,2010
Equatorial Guinea,GNQ,226,Africa,Sub-Saharan Africa,951104,522346.2994,76326.09237,352431.5901,11.361,37.418,55.56299973,44.43700027,528461.9129,422642.0871,5,2010
Greece,GRC,300,Europe,Southern Europe,11121341,1378601.42,2178337.05,7564402.318,9.8,10.3,47.49200058,52.50799942,5281747.332,5839593.668,3,2010
Guatemala,GTM,320,Americas,Latin America and the Caribbean,14630417,5418521.137,2892725.955,6319169.907,5.145,27.688,60.36600113,39.63399887,8831797.691,5798619.309,3,2010
Guam,GUM,316,Oceania,Micronesia,159444,15287.49119,26383.20009,117773.3072,4.785,17.669,61.3370018,38.6629982,97798.16915,61645.83085,5,2010
Guyana,GUY,328,Americas,Latin America and the Caribbean,746556,126936.9186,186974.9508,432644.1306,7.873,21.056,50.13800049,49.86199951,374308.2509,372247.7491,5,2010
Hong Kong,HKG,344,Asia,Eastern Asia,7024200,15874.69172,935974.6366,6072350.482,6,12.6,56.56600189,43.43399811,3973309.105,3050890.895,4,2010
Honduras,HND,340,Americas,Latin America and the Caribbean,8194778,3098527.577,1527260.705,3569071.777,4.86,24.655,61.67699814,38.32300186,5054293.075,3140484.925,4,2010
Croatia,HRV,191,Europe,Southern Europe,4417781,629710.4909,1212769.225,2575301.2,11.8,9.8,46.55799866,53.44200134,2056830.419,2360950.581,4,2010
Haiti,HTI,332,Americas,Latin America and the Caribbean,9999617,4721119.299,1024760.765,4253737.222,9.23,26.659,55.37400055,44.62599945,5537187.973,4462429.027,4,2010
Hungary,HUN,348,Europe,Eastern Europe,10000023,454101.0334,3070407.109,6475514.619,13,9,44.86000061,55.13999939,4486010.379,5514012.621,3,2010
Indonesia,IDN,360,Asia,South-eastern Asia,242524123,94945764.69,45264701.24,102313652.4,7.115,20.862,64.09999847,35.90000153,155457959.1,87066163.86,2,2010
India,IND,356,Asia,Southern Asia,1230980691,634139695.5,268464579.1,328376416.5,7.534,21.408,53.36100006,46.63899994,656863607.3,574117083.7,1,2010
Ireland,IRL,372,Europe,Northern Europe,4560155,207304.6465,891282.2982,3461567.903,6.1,16.5,52.68600082,47.31399918,2402563.301,2157591.699,4,2010
Iran (Islamic Republic of),IRN,364,Asia,Southern Asia,74567511,14331875.1,24015213.55,36221169.04,4.93,18.347,37.32400131,62.67599869,27831578.78,46735932.22,3,2010
Iraq,IRQ,368,Asia,Western Asia,30762701,7094494.189,5745242.222,17922965.18,5.578,34.891,42.93899918,57.06100082,13209195.93,17553505.07,3,2010
Iceland,ISL,352,Europe,Northern Europe,318041,17768.95033,58653.11942,241618.9302,6.4,15.4,69.23899841,30.76100159,220208.4029,97832.59706,5,2010
Israel,ISR,376,Asia,Western Asia,7623600,121825.1318,1541415.674,5960359.086,5.2,21.8,57.68600082,42.31399918,4397749.959,3225850.041,4,2010
Italy,ITA,380,Europe,Southern Europe,59277417,2234165.878,16958083.34,40085168.35,9.9,9.5,43.95899963,56.04100037,26057759.52,33219657.48,3,2010
